Rank	Kanji	Occurrences	Percentage	Cumulative%	Heisig Index	Heisig Keyword
443	非	61582	0.06%	74.37%	1632	un-
444	準	61519	0.06%	74.43%	564	semi-
445	十	61303	0.06%	74.49%	10	ten
446	専	61290	0.06%	74.55%	46	specialty
447	落	61136	0.06%	74.61%	299	fall
448	提	60856	0.06%	74.66%	665	propose
449	復	60558	0.06%	74.72%	875	restore
450	職	60427	0.06%	74.78%	824	post
451	象	60405	0.06%	74.83%	1976	elephant
452	従	60204	0.06%	74.89%	877	accompany
453	風	60043	0.06%	74.95%	524	wind
454	級	59848	0.06%	75.00%	1353	class
455	衛	59411	0.06%	75.06%	1646	defense
456	客	59365	0.06%	75.12%	294	guest
457	防	59361	0.06%	75.17%	1302	ward off
458	今	59331	0.06%	75.23%	1587	now
459	河	58913	0.06%	75.28%	146	river
460	船	58844	0.06%	75.34%	1874	ship
461	験	58775	0.06%	75.39%	1980	verification
462	評	58597	0.06%	75.45%	1487	evaluate
463	航	58551	0.06%	75.50%	1870	navigate
464	供	58376	0.06%	75.56%	1796	submit
465	督	58307	0.05%	75.61%	719	coach
466	監	58084	0.05%	75.67%	1453	oversee
467	視	57902	0.05%	75.72%	1093	inspection
468	足	57772	0.05%	75.78%	1279	leg
469	帯	57505	0.05%	75.83%	415	sash
470	港	57443	0.05%	75.89%	1800	harbor
471	母	57412	0.05%	75.94%	101	mama
472	勢	57129	0.05%	75.99%	1515	forces
473	協	57077	0.05%	76.05%	872	co-
474	敗	57036	0.05%	76.10%	331	failure
475	為	56686	0.05%	76.16%	1918	do
476	感	56534	0.05%	76.21%	615	emotion
477	藩	56464	0.05%	76.26%	1912	clan
478	張	56256	0.05%	76.31%	1921	lengthen
479	除	55739	0.05%	76.37%	1658	exclude
480	崎	55729	0.05%	76.42%	778	promontory
481	歴	55696	0.05%	76.47%	376	curriculum
482	四	55406	0.05%	76.52%	4	four
483	将	55304	0.05%	76.58%	731	leader
484	廃	55270	0.05%	76.63%	1706	abolish
485	衆	54904	0.05%	76.68%	1857	masses
486	個	54894	0.05%	76.73%	973	individual
487	護	54838	0.05%	76.78%	700	safeguard
488	念	54455	0.05%	76.84%	1590	wish
489	谷	54323	0.05%	76.89%	788	valley
490	修	54288	0.05%	76.94%	1722	discipline
491	低	54251	0.05%	76.99%	1831	lower
492	守	53819	0.05%	77.04%	186	guard
493	担	53778	0.05%	77.09%	668	shouldering
494	室	53719	0.05%	77.14%	754	room
495	末	53697	0.05%	77.19%	217	extremity
496	追	53410	0.05%	77.24%	1268	chase
497	洋	53002	0.05%	77.29%	549	ocean
498	千	52880	0.05%	77.34%	40	thousand
499	闘	52880	0.05%	77.39%	1629	fight
500	済	52842	0.05%	77.44%	1731	finish
501	失	52779	0.05%	77.49%	845	lose
502	声	52683	0.05%	77.54%	1896	voice
503	採	52528	0.05%	77.59%	733	pick
504	注	52286	0.05%	77.64%	267	pour
505	殺	52251	0.05%	77.69%	1493	kill
506	御	52237	0.05%	77.74%	1398	honorable
507	図	52198	0.05%	77.79%	1180	map
508	難	52144	0.05%	77.84%	1580	difficult
509	仕	52126	0.05%	77.89%	960	attend
510	境	51856	0.05%	77.93%	484	boundary
511	消	51760	0.05%	77.98%	144	extinguish
512	断	51740	0.05%	78.03%	1136	severance
513	頃	51739	0.05%	78.08%	2791	about that time
514	然	51610	0.05%	78.13%	241	sort of thing
515	円	51591	0.05%	78.18%	1811	circle
516	差	51580	0.05%	78.23%	554	distinction
517	査	51340	0.05%	78.28%	1781	investigate
518	司	51312	0.05%	78.32%	1863	director
519	吉	51090	0.05%	78.37%	320	good luck
520	佐	51024	0.05%	78.42%	952	assistant
521	企	50927	0.05%	78.47%	375	undertake
522	源	50885	0.05%	78.52%	142	source
523	好	50838	0.05%	78.56%	99	fond
524	破	50735	0.05%	78.61%	806	rend
525	換	50731	0.05%	78.66%	1043	interchange
526	割	50594	0.05%	78.71%	1553	proportion
527	想	50583	0.05%	78.76%	609	concept
528	宗	50535	0.05%	78.80%	1100	religion
529	座	50040	0.05%	78.85%	1024	sit
530	首	50036	0.05%	78.90%	70	neck
531	違	49939	0.05%	78.94%	1644	difference
532	帰	49939	0.05%	78.99%	1230	homecoming
533	劇	49837	0.05%	79.04%	1997	drama
534	創	49836	0.05%	79.09%	1631	genesis
535	渡	49662	0.05%	79.13%	1195	transit
536	模	49476	0.05%	79.18%	229	imitation
537	省	49301	0.05%	79.23%	124	focus
538	極	48507	0.05%	79.27%	1903	poles
539	根	48063	0.05%	79.32%	1461	root
540	芸	47944	0.05%	79.36%	421	technique
541	津	47779	0.05%	79.41%	328	haven
542	催	47763	0.05%	79.45%	987	sponsor
543	横	47738	0.05%	79.50%	1751	sideways
544	青	47625	0.04%	79.54%	1534	blue
